Contributor email,Squad name,Squad DRI email,Group name,Group DRI email,Chapter name,Chapter DRI email,Department name,Department DRI email
eve@bigcompany.com,Processing,avery@bigcompany.com,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
adam@bigcompany.com,Processing,avery@bigcompany.com,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
jason@bigcompany.com,,,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
david@bigcompany.com,Budgets,dean@bigcompany.com,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
rick@bigcompany.com,Budgets,dean@bigcompany.com,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
lisa@bigcompany.com,Conversion,patty@bigcompany.com,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
brook@bigcompany.com,Conversion,patty@bigcompany.com,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
cambria@bigcompany.com,Conversion,patty@bigcompany.com,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
dan@bigcompany.com,Trials,jen@bigcompany.com,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
emily@bigcompany.com,Trials,jen@bigcompany.com,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
alfonso@bigcompany.com,,,,,,,Engineering,phillip@bigcompany.com
cris@bigcompany.com,,,,,,,Engineering,phillip@bigcompany.com
john@bigcompany.com,,,,,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
leif@bigcompany.com,,,,,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
jerry@bigcompany.com,,,E Commerce,jill@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
erinn@bigcompany.com,,,Payments,jill@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
eric@bigcompany.com,Facebook,chamath@bigcompany.com,Social Media,robert@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
andy@bigcompany.com,Facebook,chamath@bigcompany.com,Social Media,robert@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
brandy@bigcompany.com,Instagram,mark@bigcompany.com,Social Media,robert@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
joon@bigcompany.com,Instagram,mark@bigcompany.com,Social Media,robert@bigcompany.com,Backend,amos@bigcompany.com,Engineering,phillip@bigcompany.com
lyle@bigcompany.com,Checking,kamrin@bigcompany.com,Verification,nikki@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
jordan@bigcompany.com,Credit Cards,drew@bigcompany.com,Verification,nikki@bigcompany.com,Frontend,jacinda@bigcompany.com,Engineering,phillip@bigcompany.com
landon@bigcompany.com,,,Web,blake@bigcompany.com,Design,bill@bigcompany.com,Product,josh@bigcompany.com
karissa@bigcompany.com,,,Web,blake@bigcompany.com,Design,bill@bigcompany.com,Product,josh@bigcompany.com
mika@bigcompany.com,,,Mobile,tyler@bigcompany.com,Design,bill@bigcompany.com,Product,josh@bigcompany.com
mary@bigcompany.com,,,Mobile,tyler@bigcompany.com,Design,bill@bigcompany.com,Product,josh@bigcompany.com
leia@bigcompany.com,,,Prototypes,hilary@bigcompany.com,UX,daryl@bigcompany.com,Product,josh@bigcompany.com
erika@bigcompany.com,,,Payments,jimmy@bigcompany.com,UX,daryl@bigcompany.com,Product,josh@bigcompany.com
grace@bigcompany.com,,,E Commerce,aubrey@bigcompany.com,UX,daryl@bigcompany.com,Product,josh@bigcompany.com
atticus@bigcompany.com,,,,,UX,daryl@bigcompany.com,Product,josh@bigcompany.com
levi@bigcompany.com,,,,,Design,bill@bigcompany.com,Product,josh@bigcompany.com
trisha@bigcompany.com,,,,,,,Product,josh@bigcompany.com
